County.Code,County.Name,Test.Id,Test.Name,Grade,Students.Tested,Mean.Scale.Score,Count.Test.Grade,Pct.Test.Grade
3,Amador,8,CST Mathematics,7,284,368.3,393811,0.000721158
3,Amador,7,CST English-Language Arts,7,287,377.2,431187,0.000665604
3,Amador,9,CST Algebra I,8,49,390.6,276039,0.000177511
3,Amador,7,CST English-Language Arts,8,296,362.5,435491,0.000679693
3,Amador,29,CST History - Social Science Grade 8,8,314,349.2,459125,0.00068391
3,Amador,28,CST General Mathematics,8,264,332,145549,0.001813822
3,Amador,32,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science",8,297,398,436071,0.000681082
3,Amador,11,CST Geometry,9,51,373.2,144063,0.000354012
3,Amador,28,CST General Mathematics,9,15,264.9,45052,0.000332949
3,Amador,20,CST Biology,9,79,381.8,228962,0.000345035
3,Amador,22,CST Earth Science,9,233,347.3,133961,0.001739312
3,Amador,7,CST English-Language Arts,9,313,364.3,463236,0.000675682
3,Amador,9,CST Algebra I,9,249,301,243349,0.001023222
3,Amador,13,CST Algebra II,10,58,364,131448,0.000441239
3,Amador,9,CST Algebra I,10,150,295.1,104567,0.001434487
3,Amador,7,CST English-Language Arts,10,352,351.8,455362,0.000773011
3,Amador,22,CST Earth Science,10,34,340.8,30649,0.001109335
3,Amador,20,CST Biology,10,224,345.1,228138,0.000981862
3,Amador,18,CST World History,10,346,334,422893,0.000818174
3,Amador,11,CST Geometry,10,110,325.6,156167,0.000704374
3,Amador,21,CST Chemistry,10,65,361.5,136209,0.000477208
3,Amador,32,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science",10,339,364.3,451374,0.00075104
3,Amador,15,CST Summative High School Mathematics,11,39,353.2,124304,0.000313747
3,Amador,21,CST Chemistry,11,40,336.9,133804,0.000298945
3,Amador,11,CST Geometry,11,38,298.5,78308,0.000485263
3,Amador,23,CST Physics,11,20,370.7,56726,0.000352572
3,Amador,20,CST Biology,11,93,355.9,99776,0.000932088
3,Amador,22,CST Earth Science,11,33,354.7,42331,0.000779571
3,Amador,19,CST U.S. History,11,302,337.8,447386,0.000675032
3,Amador,7,CST English-Language Arts,11,333,339.9,440115,0.00075662
3,Amador,9,CST Algebra I,11,61,288.2,49868,0.001223229
3,Amador,13,CST Algebra II,11,68,307.7,122079,0.000557016
3,Amador,28,CST General Mathematics,13,279,328.3,190615,0.001463683
3,Amador,13,CST Algebra II,13,128,333.9,286737,0.000446402
3,Amador,9,CST Algebra I,13,510,306.6,711705,0.000716589
3,Amador,11,CST Geometry,13,199,332.6,407658,0.000488154
3,Amador,20,CST Biology,13,396,354.9,556893,0.000711088
3,Amador,21,CST Chemistry,13,105,352.2,275452,0.000381192
3,Amador,22,CST Earth Science,13,300,347.4,206991,0.001449338
3,Amador,18,CST World History,13,355,332.9,474255,0.000748542
3,Amador,23,CST Physics,13,27,373.8,80833,0.000334022
3,Amador,15,CST Summative High School Mathematics,13,41,355.2,149987,0.000273357
4,Butte,7,CST English-Language Arts,2,2237,347.8,464896,0.004811829
4,Butte,8,CST Mathematics,2,2233,367.5,464515,0.004807164
4,Butte,8,CST Mathematics,3,2173,375.3,443961,0.004894574
4,Butte,7,CST English-Language Arts,3,2157,340.4,441572,0.004884821
4,Butte,8,CST Mathematics,4,2048,375.2,433012,0.004729661
4,Butte,7,CST English-Language Arts,4,2032,368.3,428906,0.004737635
4,Butte,7,CST English-Language Arts,5,2098,362.8,429498,0.004884772
4,Butte,8,CST Mathematics,5,2103,371.1,432775,0.004859338
4,Butte,32,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science",5,2090,365.9,431142,0.004847591
4,Butte,8,CST Mathematics,6,2060,355.7,436563,0.004718677
4,Butte,7,CST English-Language Arts,6,2057,360.8,434374,0.00473555
4,Butte,9,CST Algebra I,7,206,416.4,37803,0.005449303
4,Butte,7,CST English-Language Arts,7,2116,365.3,431187,0.004907384
4,Butte,8,CST Mathematics,7,1903,351.9,393811,0.004832267
4,Butte,11,CST Geometry,8,137,396.6,29035,0.004718443
4,Butte,28,CST General Mathematics,8,1054,318.8,145549,0.007241548
4,Butte,29,CST History - Social Science Grade 8,8,2306,347.2,459125,0.005022597
4,Butte,7,CST English-Language Arts,8,2149,359.3,435491,0.00493466
4,Butte,9,CST Algebra I,8,1077,353.5,276039,0.003901623
4,Butte,32,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science",8,2144,390.4,436071,0.004916631
4,Butte,27,CST Integrated/Coordinated Science 4,9,18,290.5,18,1
4,Butte,24,CST Integrated/Coordinated Science 1,9,135,335.3,33944,0.003977139
4,Butte,20,CST Biology,9,638,376.4,228962,0.002786489
4,Butte,21,CST Chemistry,9,15,301.3,5365,0.002795899
4,Butte,22,CST Earth Science,9,741,346.3,133961,0.005531461
4,Butte,9,CST Algebra I,9,901,317,243349,0.003702501
4,Butte,13,CST Algebra II,9,90,389.4,32400,0.002777778
4,Butte,7,CST English-Language Arts,9,2163,358.2,463236,0.004669326
4,Butte,28,CST General Mathematics,9,626,301.8,45052,0.013895055
4,Butte,11,CST Geometry,9,669,358.1,144063,0.004643802
4,Butte,18,CST World History,9,54,309.5,35087,0.001539032
4,Butte,18,CST World History,10,2362,347.9,422893,0.005585337
4,Butte,15,CST Summative High School Mathematics,10,100,401.7,24757,0.004039262
4,Butte,11,CST Geometry,10,584,321,156167,0.003739586
4,Butte,7,CST English-Language Arts,10,2311,346.3,455362,0.005075083
4,Butte,13,CST Algebra II,10,649,335.6,131448,0.004937314
4,Butte,9,CST Algebra I,10,690,293.6,104567,0.00659864
4,Butte,22,CST Earth Science,10,204,336.1,30649,0.006656008
4,Butte,21,CST Chemistry,10,424,367.1,136209,0.003112863
4,Butte,20,CST Biology,10,1316,344.2,228138,0.005768438
4,Butte,10,CST Integrated Math 1,10,31,329.3,5965,0.005196982
4,Butte,24,CST Integrated/Coordinated Science 1,10,52,283,4401,0.011815496
4,Butte,32,"CST Science - Grade 5, Grade 8, and Grade 10 Life Science",10,2297,361.3,451374,0.005088906
4,Butte,23,CST Physics,11,175,341.4,56726,0.003085005
4,Butte,24,CST Integrated/Coordinated Science 1,11,86,291.9,7963,0.01079995
4,Butte,10,CST Integrated Math 1,11,18,306.7,6318,0.002849003
